id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,127067.0,0.5244,0.8193,387.0,254.0
2,678.0,0.8091,0.8195,110.5,475.3
3,16784.0,0.5707,0.9041,157.4,680.4
4,373.0,0.8614,0.9312,104.9,784.3
5,13935.0,0.7687,0.9771,125.2,973.6
6,868.0,0.7813,0.8270,116.7,1136.5
7,39722.0,0.7487,0.6788,188.4,1329.2
8,26629.0,0.5847,0.9080,171.1,1729.2
9,1468.0,0.8160,0.8044,125.6,1868.6
10,24448.0,0.7178,0.7593,182.5,1982.4
11,257.0,0.8893,0.8704,105.1,2161.3
12,20578.0,0.5612,0.8683,166.6,2387.5
13,28686.0,0.7902,0.6707,170.7,2623.8
14,326.0,0.9235,0.9290,104.7,2774.6
15,1031.0,0.9148,0.7712,112.7,2829.5
16,74406.0,0.7666,0.9331,184.2,3125.8
17,102383.0,0.7262,0.8408,230.9,3775.2
18,165.0,0.9322,0.7917,107.1,3818.2
19,2497.0,0.8607,0.7858,118.3,3866.7
20,1679.0,0.8575,0.9044,113.5,4181.7
21,67389.0,0.7542,0.9247,175.3,4515.2
22,271.0,0.8686,0.7212,106.4,4824.7
23,25499.0,0.6008,0.6198,189.1,4972.8
24,429.0,0.8346,0.7558,111.3,5142.9
25,34139.0,0.8288,0.4485,182.5,5313.1
26,680464.0,0.3354,0.9245,948.9,5446.8
27,477.0,0.7500,0.9007,118.3,2206.6
28,1099.0,0.8613,0.7973,183.7,558.1
29,323.0,0.9229,0.7815,171.7,1897.8
30,11015.0,0.7478,0.5440,236.6,1128.2
31,394.0,0.9120,0.6068,181.2,5830.8
32,790.0,0.9018,0.6399,191.7,1474.9
33,9652.0,0.7620,0.7201,248.6,2299.8
34,4083.0,0.7841,0.8636,229.4,4065.3
35,3248.0,0.8384,0.8325,240.6,2060.8
36,8039.0,0.7607,0.7498,265.8,336.0
37,1878.0,0.8568,0.6721,231.5,3389.7
38,1367.0,0.8848,0.6541,232.5,4729.0
39,588.0,0.9202,0.6064,228.9,5466.1
40,1408.0,0.9481,0.6766,236.9,802.4
41,554.0,0.8864,0.7876,233.3,680.9
42,1763.0,0.9328,0.6171,245.0,4783.7
43,362.0,0.8938,0.7288,242.4,2790.0
44,1551.0,0.8898,0.5832,259.4,1033.0
45,1665.0,0.7997,0.6848,267.1,602.8
46,806.0,0.8770,0.6977,257.4,4357.8
47,4167.0,0.7828,0.8819,307.5,3451.2
48,406.0,0.9022,0.8109,271.1,1710.3
49,1529.0,0.7112,0.6590,297.8,4334.1
50,1259.0,0.7018,0.6608,303.1,1685.0
51,1507.0,0.7990,0.4762,300.9,2994.3
52,468.0,0.9267,0.7159,296.2,5041.2
53,4060.0,0.8112,0.8406,403.3,5295.0
54,452.0,0.8528,0.8978,403.1,4921.6
55,2052.0,0.8807,0.8874,409.2,336.0
56,455.0,0.8553,0.7755,406.3,6185.8
57,2982.0,0.9564,0.7219,451.8,2535.5
58,2344.0,0.9436,0.6825,450.5,1888.2
59,1965.0,0.9470,0.6109,453.4,3897.1
60,1609.0,0.8812,0.6649,455.0,4546.5
61,2016.0,0.9320,0.6592,453.9,5226.0
62,2233.0,0.9555,0.6934,454.8,550.9
63,1779.0,0.9368,0.6100,456.5,1218.2
64,1082.0,0.8057,0.7403,456.7,3207.2
65,37894.0,0.9166,0.8439,527.1,5873.5
66,877.0,0.8761,0.7552,463.7,1003.8
67,1507.0,0.8294,0.8648,506.7,3867.5
68,1902.0,0.8039,0.8198,524.2,5516.9
69,1652.0,0.9047,0.6768,519.1,1010.5
70,1403.0,0.8908,0.7055,525.6,3767.0
71,28243.0,0.7312,0.6281,661.8,1150.0
72,575.0,0.8915,0.6829,524.0,6184.8
73,6673.0,0.8842,0.8678,595.4,5034.8
74,20400.0,0.5748,0.9413,688.0,3822.8
75,1579.0,0.8946,0.4165,572.8,3756.2
76,6060.0,0.8674,0.9545,606.5,2858.4
77,6665.0,0.9496,0.9476,587.1,2280.5
78,23174.0,0.7429,0.8713,663.7,5628.3
79,1464.0,0.8851,0.8982,611.5,5151.6
80,10762.0,0.9388,0.8767,691.7,3142.9
81,1043.0,0.9046,0.4632,697.3,516.9
82,656.0,0.9480,0.7227,697.8,5920.4
83,1890.0,0.7366,0.6932,733.3,4950.2
84,3766.0,0.9654,0.7213,738.9,359.8
85,2872.0,0.8553,0.6468,742.6,4350.7
86,659.0,0.8581,0.8373,738.1,5051.0
