id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1296.0,0.8739,0.9488,125.2,643.1
2,4438.0,0.7551,0.9480,156.8,774.0
3,831.0,0.9142,0.7761,259.0,814.0
4,933.0,0.9501,0.8597,308.8,714.2
5,365.0,0.8859,0.8901,363.3,875.7
6,1968.0,0.7230,0.8895,514.0,746.3
7,515.0,0.9296,0.5778,542.2,898.4
8,332.0,0.9071,0.9361,721.1,799.5
9,1166.0,0.9174,0.7519,777.6,943.8
10,1153.0,0.8883,0.9363,842.3,939.7
11,417.0,0.8929,0.8872,879.0,754.7
12,497.0,0.9377,0.9363,954.0,868.0
13,1170.0,0.6751,0.7533,1049.5,771.4
14,26959.0,0.8062,0.9934,1078.7,2523.5
15,11899.0,0.7420,0.9549,1134.6,1216.9
16,405.0,0.8940,0.9364,1067.1,1325.3
17,5157.0,0.7688,0.9485,1096.0,1049.5
18,815.0,0.9035,0.9322,1098.2,847.0
19,571.0,0.9361,0.9197,1101.8,2012.2
20,12653.0,0.5494,0.9917,1154.8,1707.0
21,1050.0,0.9494,0.9433,1190.0,1658.3
22,831.0,0.9519,0.7470,1234.2,1414.4
23,476.0,0.9136,0.6627,1247.3,1672.7
24,692.0,0.9364,0.8771,1445.2,743.4
25,2440.0,0.7656,0.8136,1486.0,621.4
26,1784.0,0.9399,0.7689,1529.0,724.8
27,6693.0,0.4988,0.9887,1727.6,659.3
28,325.0,0.8953,0.8174,1608.8,494.4
29,412.0,0.9515,0.5803,1646.5,500.1
30,525.0,0.9194,0.8039,1682.2,507.5
31,93797.0,0.6925,0.8661,1971.7,507.9
32,1244.0,0.8711,0.8258,1714.4,821.7
33,525.0,0.8127,0.9107,1708.1,474.3
34,1236.0,0.7644,0.8943,1758.6,740.0
35,361.0,0.8914,0.6334,1760.3,821.8
36,681.0,0.8376,0.6092,1786.0,612.4
37,1146.0,0.9052,0.6002,1802.3,407.9
38,390.0,0.8924,0.9613,1827.5,654.7
39,1501.0,0.7697,0.9485,1962.1,744.0
40,435.0,0.9197,0.9176,2031.3,805.6
41,614.0,0.9505,0.9288,2071.0,715.0
42,635.0,0.9176,0.8731,2115.3,698.1
43,668.0,0.9435,0.7512,2158.7,682.7
44,460.0,0.7731,0.9932,2248.1,413.1
