id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,5270326.0,0.6883,0.4766,1522.7,1449.6
2,1064.0,0.8210,0.8382,306.5,915.3
3,762.0,0.7713,0.8436,389.3,1605.5
4,1826.0,0.6224,0.4852,457.4,1667.9
5,1186.0,0.7376,0.9137,460.8,998.7
6,393.0,0.8871,0.7487,440.1,2337.2
7,461.0,0.8951,0.7910,439.1,946.7
8,398.0,0.9171,0.8253,455.0,368.4
9,1353.0,0.8296,0.8022,476.7,2449.2
10,494.0,0.7530,0.8227,476.7,220.3
11,1469.0,0.8385,0.9303,532.0,1879.4
12,321.0,0.9224,0.8176,572.4,1250.2
13,662.0,0.7797,0.8845,581.1,1931.7
14,683.0,0.8131,0.7740,597.5,646.9
15,760.0,0.8216,0.5097,612.8,2034.2
16,461.0,0.8188,0.8269,637.3,1058.4
17,1207.0,0.6603,0.7187,648.5,1709.3
18,529.0,0.8214,0.8798,638.2,454.5
19,363.0,0.7707,0.4939,639.6,700.0
20,281.0,0.9558,0.6218,654.1,2473.0
21,657.0,0.7897,0.9109,687.1,1642.0
22,793.0,0.8330,0.6160,698.7,1820.0
23,551.0,0.7717,0.8499,700.8,2475.1
24,449.0,0.8944,0.8542,706.2,1192.3
25,299.0,0.9172,0.8976,705.9,2315.2
26,472.0,0.8708,0.6879,872.1,129.3
27,325.0,0.9104,0.5214,936.4,1703.3
28,366.0,0.8905,0.8178,954.3,2395.5
29,567.0,0.7941,0.9277,962.7,2428.7
30,484.0,0.8013,0.8728,993.9,2413.3
31,848.0,0.8852,0.6376,1019.6,1609.6
32,1689.0,0.8894,0.7322,1113.6,2574.1
33,580.0,0.9310,0.6748,1111.7,1663.3
34,19110.0,0.7403,0.7413,1244.1,1805.4
35,617.0,0.9492,0.8141,1191.0,1684.8
36,535.0,0.7776,0.8248,1198.0,1645.9
37,416.0,0.8851,0.8597,1297.5,1421.6
38,1596.0,0.7311,0.8447,1312.7,1713.1
39,434.0,0.8948,0.9046,1321.7,1967.1
40,1028.0,0.8094,0.6988,1343.7,1324.5
41,441.0,0.8305,0.8837,1345.3,2486.7
42,402.0,0.9178,0.6226,1356.9,2373.6
43,933.0,0.7995,0.7339,1373.1,1703.4
44,302.0,0.8162,0.9136,1412.7,1352.3
45,1804.0,0.8306,0.6009,1555.5,132.7
46,379.0,0.9335,0.8388,1532.1,168.3
47,401.0,0.9282,0.5890,1561.4,254.4
48,680.0,0.8640,0.8914,1600.3,2470.5
49,441.0,0.8855,0.8127,1603.2,1676.8
50,425.0,0.9159,0.6535,1606.0,1047.5
51,288.0,0.8754,0.7182,1606.1,109.0
52,4121.0,0.8024,0.9064,1668.7,2544.5
53,331.0,0.8338,0.8788,1629.1,998.2
54,654.0,0.8395,0.7713,1635.8,365.5
55,1444.0,0.8049,0.5934,1649.6,1890.0
56,3775.0,0.8092,0.8533,1681.6,549.2
57,2595.0,0.7104,0.8562,1675.0,1224.7
58,312.0,0.9369,0.5248,1645.7,1323.0
59,385.0,0.8226,0.8703,1653.7,2495.4
60,280.0,0.9589,0.7041,1656.5,495.6
61,961.0,0.8022,0.7561,1692.8,665.0
62,379.0,0.8834,0.7349,1680.0,1042.3
63,1021.0,0.8832,0.6881,1684.7,1322.9
64,444.0,0.9080,0.8312,1686.1,498.4
65,438.0,0.8311,0.7585,1693.7,2007.6
66,2292.0,0.8259,0.7643,1729.5,1054.3
67,3064.0,0.8369,0.8042,1728.8,1724.3
68,982.0,0.8444,0.7855,1751.8,2598.7
69,807.0,0.8753,0.8067,1772.9,1228.8
70,350.0,0.8906,0.7328,1763.8,1668.9
71,3192.0,0.8467,0.8903,1805.6,2641.7
