id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,4795026.0,0.6357,0.7166,1170.9,1798.4
2,498.0,0.8845,0.7409,264.7,3013.3
3,2243.0,0.8493,0.7642,284.7,963.5
4,4534.0,0.7674,0.8190,392.8,3043.9
5,2016.0,0.7878,0.8701,386.8,3143.4
6,428.0,0.7431,0.8756,383.1,2336.6
7,423.0,0.8198,0.9152,398.0,2295.4
8,413.0,0.8769,0.8768,414.7,3572.3
9,5933.0,0.7395,0.7860,445.7,171.1
10,334.0,0.9003,0.8727,439.6,1004.7
11,562.0,0.8098,0.7393,442.6,1656.4
12,1129.0,0.8087,0.7914,520.7,146.1
13,909.0,0.7743,0.7060,531.3,114.3
14,3669.0,0.8732,0.7435,542.0,206.4
15,352.0,0.8073,0.6572,535.5,2616.5
16,960.0,0.7805,0.8899,555.6,2645.2
17,460.0,0.8663,0.7035,542.1,1291.5
18,1399.0,0.8172,0.7743,557.2,294.7
19,7952.0,0.5186,0.7100,610.0,1306.3
20,346.0,0.8964,0.9293,558.7,598.6
21,519.0,0.9010,0.8882,564.4,1971.7
22,311.0,0.9628,0.6730,567.9,1275.8
23,480.0,0.8081,0.5256,570.7,151.6
24,445.0,0.7890,0.8633,586.3,206.0
25,363.0,0.8919,0.8941,601.7,2988.4
26,22878.0,0.6468,0.8828,764.4,153.9
27,588.0,0.8750,0.8832,661.6,1344.2
28,1408.0,0.9031,0.7786,680.8,2310.3
29,908.0,0.9200,0.7390,679.1,304.7
30,340.0,0.9239,0.8406,675.7,1191.2
31,384.0,0.8910,0.8688,672.4,2528.9
32,538.0,0.8893,0.8027,715.7,3366.2
33,600.0,0.8439,0.8568,768.7,3446.8
34,168.0,0.9385,0.9127,802.3,3576.5
35,324.0,0.8182,0.8451,863.1,3503.7
36,779.0,0.8467,0.7745,867.9,246.2
37,124881.0,0.6556,0.5623,1170.0,3403.2
38,359.0,0.9066,0.8002,902.2,3341.3
39,254.0,0.8581,0.8830,915.4,3575.5
40,1278.0,0.8008,0.8383,950.4,3252.5
41,1814.0,0.7942,0.8419,965.6,290.3
42,323.0,0.9282,0.8270,949.1,952.7
43,802.0,0.7645,0.9266,973.4,960.2
44,619.0,0.8669,0.8757,975.9,1758.1
45,5459.0,0.8496,0.9363,1029.6,121.2
46,14163.0,0.8540,0.8387,1076.7,2394.4
47,12782.0,0.7593,0.8102,1079.5,382.1
48,326.0,0.9341,0.4936,982.0,642.4
49,13212.0,0.8550,0.8087,1084.9,1728.4
50,2251.0,0.7171,0.8351,1017.2,523.3
51,2283.0,0.7792,0.8817,1013.2,1189.2
52,319.0,0.9246,0.8451,1009.6,3189.5
53,1371.0,0.8666,0.8712,1025.0,2528.0
54,2191.0,0.7772,0.9478,1042.4,578.3
55,2086.0,0.8051,0.7176,1041.9,1316.2
56,2172.0,0.8412,0.6739,1042.1,1975.3
57,2114.0,0.7935,0.8717,1047.9,637.9
58,748.0,0.9269,0.6783,1050.9,3318.7
59,5895.0,0.7899,0.7436,1097.4,3041.9
60,1454.0,0.9191,0.7493,1075.8,2466.0
61,993.0,0.7856,0.8915,1085.2,1183.1
62,875.0,0.7730,0.7767,1084.5,3132.4
63,675.0,0.8755,0.6611,1082.8,1145.2
64,257.0,0.9483,0.9247,1097.8,3575.7
65,23270.0,0.6493,0.9348,1259.3,155.2
66,618.0,0.9102,0.6887,1126.9,427.8
67,752.0,0.7833,0.8348,1128.3,3218.4
68,369.0,0.9342,0.7428,1121.4,2321.2
69,611.0,0.9502,0.5190,1134.5,555.3
70,299.0,0.9144,0.6878,1151.6,2934.5
71,718.0,0.8997,0.5381,1166.5,1151.2
72,523.0,0.9492,0.6639,1167.4,2478.9
73,409.0,0.8296,0.7341,1170.0,1652.7
74,19572.0,0.6915,0.9169,1238.7,2477.4
75,674.0,0.8776,0.7810,1175.6,112.4
76,928.0,0.8649,0.7157,1193.5,1682.6
77,859.0,0.7954,0.7840,1244.3,972.9
78,2777.0,0.7671,0.5796,1258.4,3058.2
79,323.0,0.9229,0.5644,1246.4,254.8
80,1765.0,0.8699,0.8555,1377.0,1632.6
81,1691.0,0.8447,0.7097,1364.3,2473.4
82,1275.0,0.9327,0.7183,1364.4,3135.8
83,556.0,0.8476,0.8351,1379.6,3080.7
84,5872.0,0.6529,0.8358,1529.1,128.7
85,2663.0,0.5992,0.7068,1543.2,194.6
86,277.0,0.8766,0.9172,1573.9,3575.3
