id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,2772151.0,0.4748,0.7100,1097.0,1484.8
2,443.0,0.8454,0.6971,110.4,1485.4
3,187.0,0.9639,0.7517,104.6,1510.6
4,5704.0,0.6523,0.8820,146.5,1552.1
5,645.0,0.7885,0.8832,107.8,2116.1
6,3270.0,0.8474,0.7852,121.3,2184.8
7,730.0,0.8295,0.9428,107.2,2737.3
8,3270.0,0.8739,0.8288,120.4,2812.3
9,179233.0,0.7217,0.8145,347.5,3208.6
10,643.0,0.7928,0.6992,169.8,2171.3
11,395.0,0.8264,0.9321,208.1,1933.2
12,329.0,0.9242,0.8650,218.7,1452.8
13,410.0,0.8650,0.6457,218.5,1478.4
14,323.0,0.8568,0.8870,220.7,155.7
15,1399.0,0.8883,0.7659,270.1,989.8
16,371.0,0.8812,0.8264,256.6,1317.4
17,496.0,0.9134,0.7971,269.4,2848.4
18,706.0,0.8684,0.5923,270.1,364.7
19,384.0,0.9014,0.9170,272.3,939.2
20,386.0,0.8540,0.8585,272.0,1506.4
21,4478.0,0.7116,0.9395,368.0,514.8
22,1336.0,0.8450,0.6923,332.5,1768.6
23,1711.0,0.8512,0.9044,341.8,3017.1
24,1136.0,0.8516,0.5895,333.0,2390.7
25,2011.0,0.7426,0.7250,401.0,2986.5
26,4389.0,0.8037,0.8370,418.6,1035.2
27,687.0,0.8502,0.8453,390.2,2369.2
28,2840.0,0.8725,0.7235,411.3,394.5
29,1101.0,0.8456,0.6646,395.8,2884.7
30,864.0,0.8159,0.7756,401.7,1628.1
31,493.0,0.8634,0.7624,397.1,2165.9
32,896.0,0.7764,0.7393,401.4,2250.4
33,392.0,0.8731,0.6772,396.2,1537.9
34,407.0,0.8605,0.8567,404.2,1752.4
35,862.0,0.8760,0.4801,452.2,181.0
36,332.0,0.9022,0.7308,512.8,1808.9
37,339.0,0.8968,0.9351,522.3,3401.3
38,15080.0,0.7355,0.9056,579.1,1073.2
39,443.0,0.8949,0.9290,536.6,1186.6
40,8950.0,0.6750,0.9249,578.3,447.6
41,356.0,0.8990,0.6487,539.0,959.2
42,1457.0,0.7347,0.9659,575.2,109.0
43,8031.0,0.6851,0.9360,579.3,2310.0
44,1134.0,0.8852,0.5574,559.8,3130.6
45,806.0,0.7825,0.9717,574.7,3164.1
46,347.0,0.9278,0.8461,563.2,638.8
47,582.0,0.9080,0.7808,565.3,923.5
48,323.0,0.9528,0.5815,565.8,1880.9
49,461.0,0.8585,0.8338,573.7,296.7
50,902.0,0.7664,0.6136,598.9,1870.6
51,983.0,0.9389,0.5151,599.8,336.0
52,681.0,0.9166,0.8519,599.4,2500.2
53,954.0,0.9068,0.5970,604.8,639.6
54,538.0,0.7831,0.8481,624.5,1785.2
55,29520.0,0.6367,0.6800,751.9,3086.1
56,341.0,0.9093,0.6401,624.6,2451.3
57,1787.0,0.6515,0.7757,645.3,3173.6
58,1024.0,0.8752,0.7154,641.1,1948.5
59,554.0,0.8017,0.9425,659.7,1906.2
60,320.0,0.8964,0.8879,660.7,666.7
61,1682.0,0.8083,0.7863,695.4,209.9
62,540.0,0.7692,0.7163,689.1,2960.8
63,433.0,0.8983,0.5279,690.3,427.8
64,756.0,0.8120,0.8978,724.5,3262.9
65,470.0,0.8275,0.8213,716.2,1924.5
66,298.0,0.9226,0.7937,714.2,2020.2
67,397.0,0.8593,0.7906,730.0,2900.5
68,672.0,0.8087,0.9899,777.3,3401.5
69,1719.0,0.7077,0.8721,811.8,124.3
70,287.0,0.9379,0.7698,814.7,3349.6
71,255.0,0.8173,0.9470,836.7,3402.4
72,2414.0,0.7553,0.6430,855.6,3018.7
73,308.0,0.9222,0.5943,846.4,162.8
74,485.0,0.9273,0.8199,856.4,3264.9
75,322.0,0.9306,0.6306,856.7,3174.2
76,302.0,0.8909,0.8001,862.4,107.4
77,1526.0,0.7473,0.8138,880.3,2154.6
78,308.0,0.9277,0.8367,869.9,2935.1
79,107313.0,0.7473,0.6748,1112.9,3261.1
80,841.0,0.8435,0.6219,893.6,2452.4
81,314.0,0.8556,0.9057,895.5,861.4
82,367.0,0.8908,0.5535,897.1,3057.3
83,173.0,0.9505,0.9642,916.8,102.7
84,492.0,0.8770,0.6997,925.8,204.7
85,841.0,0.7694,0.5668,936.1,140.1
86,592.0,0.8983,0.6671,938.9,1832.7
87,1359.0,0.8415,0.7742,958.8,544.4
88,1272.0,0.8754,0.7579,956.6,2384.7
89,1504.0,0.8684,0.8223,966.2,2999.4
90,376.0,0.8765,0.7769,964.9,1827.7
91,2362.0,0.7243,0.8410,1020.6,2975.2
92,705.0,0.8275,0.6686,1006.0,1564.7
93,2005.0,0.8485,0.8200,1028.6,402.9
94,9214.0,0.7225,0.9437,1074.4,1583.2
95,878.0,0.8625,0.9451,1026.7,108.7
96,1206.0,0.8973,0.7207,1026.3,2248.7
97,1373.0,0.8241,0.7209,1027.8,1017.4
98,851.0,0.8810,0.5185,1022.4,2868.7
99,671.0,0.8692,0.7600,1076.9,2102.6
100,676.0,0.7261,0.9532,1088.0,1320.3
101,893.0,0.8930,0.8722,1088.7,1499.3
102,335.0,0.9306,0.7208,1137.7,585.2
103,8329.0,0.8755,0.7755,1221.8,134.1
104,615.0,0.9248,0.7549,1165.4,567.2
105,9607.0,0.7278,0.9312,1198.0,2915.0
106,2132.0,0.8559,0.7754,1190.7,207.5
107,9692.0,0.7043,0.9382,1200.9,464.6
108,9608.0,0.6451,0.9614,1203.2,2291.1
109,280.0,0.9396,0.7866,1190.7,3111.9
110,378.0,0.9108,0.8961,1192.8,2150.9
111,1031.0,0.8055,0.7117,1226.3,1864.5
112,753.0,0.8655,0.7728,1221.3,353.7
113,503.0,0.7703,0.9028,1222.8,661.6
114,1604.0,0.8906,0.7320,1253.0,1825.6
115,343.0,0.8366,0.7877,1243.5,1779.9
116,388.0,0.8362,0.9139,1253.0,2444.9
117,1299.0,0.8897,0.8476,1269.4,3150.8
118,1290.0,0.8027,0.7981,1265.3,436.7
119,675.0,0.8599,0.6330,1277.3,537.4
120,1053.0,0.6923,0.9461,1292.4,2543.5
121,322.0,0.9253,0.7623,1287.5,1903.3
122,24915.0,0.7116,0.7609,1390.7,3090.7
123,664.0,0.8680,0.5796,1309.6,1708.4
124,1434.0,0.8929,0.7210,1317.4,185.4
125,2797.0,0.7908,0.6934,1372.2,1660.5
