id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,916.0,0.9188,0.9524,732.9,1168.1
2,395.0,0.9382,0.7726,2264.3,1994.7
3,31826.0,0.5710,0.5401,2451.0,1977.8
4,1740.0,0.6105,0.6538,2616.8,1861.0
5,1464.0,0.6919,0.9424,2680.5,1905.0
6,5998.0,0.5762,0.9482,2733.0,2091.9
7,732.0,0.8453,0.9744,2812.5,1827.9
8,632.0,0.8876,0.6889,3073.6,2147.2
9,4629.0,0.6368,0.6223,3128.3,2139.2
10,1337.0,0.8500,0.8459,3249.6,2068.5
11,1147.0,0.8205,0.8982,3312.6,2052.5
12,448.0,0.9614,0.4481,4060.1,382.6
13,564.0,0.8967,0.7969,4085.7,388.1
14,731.0,0.7793,0.7503,4089.3,496.7
15,1109.0,0.8472,0.5748,4109.7,534.0
16,533.0,0.8289,0.7624,4101.3,351.7
17,236.0,0.9555,0.6208,4135.8,128.7
18,82856.0,0.6355,0.9410,4454.6,320.9
19,3705.0,0.7153,0.9332,4191.9,901.7
20,235.0,0.8048,0.9111,4178.8,815.1
21,482.0,0.8638,0.7321,4181.3,789.1
22,694.0,0.8484,0.9608,4208.2,1263.7
23,1826.0,0.7711,0.9250,4218.0,1003.9
24,80917.0,0.5647,0.9077,4515.9,1854.5
25,15699.0,0.5470,0.9085,4268.4,715.5
26,326.0,0.8883,0.8738,4227.6,583.5
27,409.0,0.9069,0.8442,4224.9,1071.2
28,255.0,0.8947,0.9037,4224.3,1395.4
29,206.0,0.9364,0.7452,4227.8,1043.3
30,328.0,0.9507,0.6185,4233.1,516.1
31,374.0,0.8184,0.9172,4244.1,169.0
32,371.0,0.9206,0.7219,4245.1,959.7
33,4450.0,0.6305,0.6477,4290.3,1161.0
34,786.0,0.8792,0.8786,4257.2,1325.9
35,274.0,0.9416,0.7282,4249.6,1059.4
36,1092.0,0.5821,0.8649,4287.4,1373.9
37,261.0,0.9457,0.6690,4261.4,1349.6
38,2736.0,0.4967,0.8086,4294.7,1826.0
39,710.0,0.8744,0.8122,4283.1,1658.7
40,770.0,0.8443,0.7128,4297.7,294.2
41,15562.0,0.8105,0.8425,4358.9,519.5
42,1342.0,0.7386,0.7866,4304.1,1686.0
43,1318.0,0.8269,0.5935,4308.1,1420.3
44,1165.0,0.9195,0.7243,4311.1,1762.9
45,772.0,0.9093,0.6884,4316.8,1092.9
46,1621.0,0.8093,0.8898,4370.2,992.4
47,879.0,0.8720,0.6020,4381.9,1197.2
48,1377.0,0.9576,0.5510,4399.7,825.2
49,384.0,0.9209,0.7294,4389.2,1649.3
50,756.0,0.8542,0.8910,4419.0,1833.1
51,649.0,0.9298,0.5420,4416.8,1053.7
52,412.0,0.8323,0.7569,4419.4,1402.0
53,2806.0,0.8465,0.7075,4446.6,565.4
54,2988.0,0.8501,0.8548,4440.2,675.7
55,378.0,0.8811,0.9127,4432.5,970.8
56,2136.0,0.8513,0.9358,4443.8,1354.4
57,677.0,0.7711,0.8543,4473.7,1003.5
58,919.0,0.8309,0.7429,4481.9,1128.9
59,3894.0,0.8342,0.9262,4517.1,650.6
60,418.0,0.8513,0.8658,4510.5,152.5
61,569.0,0.7837,0.9727,4504.4,1338.8
62,1021.0,0.7890,0.7061,4521.0,575.2
63,297.0,0.8866,0.6325,4526.0,210.2
64,1003.0,0.9004,0.8188,4532.7,770.6
65,52386.0,0.4837,0.9315,4620.1,1024.6
66,1066.0,0.6940,0.6683,4569.8,1386.9
67,240.0,0.9717,0.7642,4564.9,1589.7
68,506.0,0.8336,0.7991,4585.0,405.2
69,360.0,0.9137,0.8667,4623.5,354.6
70,484.0,0.9202,0.8217,4630.5,1984.4
71,326.0,0.8556,0.7661,4648.7,755.8
72,484.0,0.9115,0.4672,4657.4,429.5
73,579.0,0.8403,0.8167,4663.0,1168.6
74,943.0,0.7182,0.8288,4667.5,830.4
75,443.0,0.8422,0.7243,4675.7,1956.8
76,1296.0,0.5555,0.9469,4704.3,670.0
77,389.0,0.9005,0.9278,4697.2,1903.2
78,7344.0,0.6440,0.9598,4741.7,791.1
79,511.0,0.7604,0.7646,4713.1,378.3
80,451.0,0.9074,0.6848,4713.3,443.2
81,340.0,0.8543,0.7424,4711.0,612.2
82,312.0,0.8914,0.7791,4719.1,159.3
83,443.0,0.9307,0.8082,4731.3,579.7
84,786.0,0.5282,0.9724,4758.1,364.4
85,1694.0,0.6850,0.9300,4758.0,918.3
86,353.0,0.7724,0.9075,4748.6,1214.0
87,260.0,0.9319,0.9191,4793.0,1870.5
88,500.0,0.9091,0.6018,4813.8,114.6
89,487.0,0.7215,0.8624,4830.3,294.9
90,174.0,0.8406,0.8772,4822.9,141.0
91,1594.0,0.6924,0.9586,4837.5,219.5
92,692.0,0.8793,0.6776,5308.2,1630.0
93,539.0,0.8624,0.9251,5346.2,1619.7
94,2754.0,0.8529,0.9932,5425.1,1625.3
95,281.0,0.7806,0.9801,5408.4,1522.9
96,2587.0,0.8521,0.9897,5526.6,1591.3
