id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,2043.0,0.8255,0.9445,121.8,149.5
2,1604.0,0.7790,0.8636,130.1,546.8
3,3202.0,0.7850,0.8267,121.2,987.4
4,4263.0,0.7815,0.8786,124.3,1672.9
5,679.0,0.7421,0.9074,116.2,1823.9
6,521.0,0.9254,0.5437,111.8,1893.2
7,903.0,0.7155,0.9262,122.3,2040.0
8,3818.0,0.8033,0.8213,122.4,2341.3
9,399.0,0.8599,0.5510,110.9,2468.2
10,3582.0,0.8122,0.8348,122.6,3000.2
11,10456.0,0.5946,0.8828,147.4,3704.9
12,995.0,0.7810,0.9145,124.5,3882.3
13,248.0,0.7873,0.5504,106.2,3923.8
14,955.0,0.8504,0.9114,125.2,4191.8
15,365.0,0.9194,0.7949,123.9,2082.3
16,474.0,0.8634,0.8987,136.2,1991.6
17,363.0,0.9732,0.8227,128.0,2197.2
18,566.0,0.7477,0.9310,146.2,2603.0
19,621.0,0.8075,0.9197,148.4,3924.4
20,353.0,0.9515,0.6545,141.2,1877.4
21,832.0,0.9596,0.4638,146.6,2432.8
22,548.0,0.8824,0.8870,168.1,2688.5
23,431.0,0.9229,0.9224,167.5,1337.1
24,630.0,0.8762,0.8831,170.2,2014.0
25,536.0,0.9085,0.8634,170.6,4008.5
26,544.0,0.8382,0.7746,175.3,268.9
27,635.0,0.8333,0.7686,183.6,1730.3
28,361.0,0.9280,0.8138,183.7,1355.3
29,404.0,0.8707,0.7442,186.7,3059.9
30,524.0,0.8291,0.5460,195.8,3095.9
31,822.0,0.9503,0.7327,204.0,3618.9
32,725.0,0.9514,0.7347,204.7,1621.7
33,705.0,0.9566,0.7994,204.5,2296.1
34,420.0,0.8300,0.6334,199.1,1764.2
35,529.0,0.9379,0.7026,203.8,2952.4
36,482.0,0.9563,0.7647,205.2,943.1
37,425.0,0.7944,0.8659,225.3,2675.8
38,623.0,0.8762,0.6813,250.6,1339.8
39,677.0,0.9099,0.8510,272.8,2614.5
40,575.0,0.9259,0.8097,270.2,1941.0
41,945.0,0.9347,0.6803,275.6,3937.1
42,560.0,0.9475,0.7617,275.9,3272.6
43,401.0,0.9347,0.6609,273.2,1263.1
44,450.0,0.8704,0.9076,311.4,342.1
45,945.0,0.7542,0.7623,479.1,307.2
46,1526.0,0.8511,0.9660,512.9,711.9
47,2468.0,0.8487,0.9122,552.5,3638.7
48,2099.0,0.8943,0.8849,552.3,1639.1
49,1965.0,0.8302,0.8990,553.0,966.8
50,2060.0,0.8788,0.8814,555.2,2317.9
51,1836.0,0.9018,0.8838,555.1,2978.2
52,1700.0,0.8030,0.9835,624.3,4169.2
53,337.0,0.9059,0.8939,652.9,333.6
54,918.0,0.7379,0.8915,715.2,274.8
55,4326.0,0.6118,0.9149,767.9,339.9
56,343.0,0.7743,0.9742,729.7,227.9
57,554.0,0.8907,0.9102,750.1,503.6
58,373.0,0.9395,0.9061,764.0,562.1
59,1941.0,0.8469,0.9463,791.5,486.3
60,455.0,0.9248,0.7836,791.3,781.9
61,676.0,0.8860,0.9218,790.7,571.5
62,1336.0,0.8298,0.8917,948.1,974.6
63,2989.0,0.8572,0.9645,986.5,862.5
64,224747.0,0.5694,0.9275,1633.7,1073.6
65,394.0,0.8717,0.9588,1051.0,780.1
66,3576.0,0.8472,0.9403,1205.2,2990.8
67,2009.0,0.8392,0.9814,1204.2,1645.1
68,2497.0,0.8712,0.9201,1226.3,791.2
69,2438.0,0.8817,0.9600,1206.2,2292.6
70,2065.0,0.7749,0.9718,1208.1,3633.0
71,2076.0,0.8015,0.9881,1280.9,4187.6
72,328.0,0.8962,0.8555,1255.7,4105.6
73,646.0,0.9086,0.4825,1343.4,1260.4
74,457.0,0.9581,0.4824,1343.0,3917.5
75,742.0,0.9275,0.8019,1455.5,1090.3
76,351.0,0.8931,0.8344,1588.6,1258.4
77,681.0,0.8397,0.6769,1626.3,1275.3
78,54603.0,0.6972,0.9779,1815.9,1711.1
79,1736.0,0.9274,0.5350,1763.1,1456.9
80,4288.0,0.8525,0.8632,1830.9,3663.4
81,4384.0,0.8686,0.8070,1832.3,2320.4
82,3082.0,0.8377,0.9000,1835.5,2985.1
83,4103.0,0.8704,0.7783,1857.7,2225.3
84,442.0,0.9208,0.6051,1843.2,3586.1
85,1067.0,0.8189,0.6772,1876.2,3570.4
86,601.0,0.9134,0.8227,1875.2,2885.4
87,1222.0,0.8534,0.7568,1886.3,1382.4
88,417.0,0.9608,0.7716,1892.0,3132.6
89,2517.0,0.7169,0.9820,1945.5,4183.4
90,531.0,0.9415,0.7046,1975.5,1714.8
91,708.0,0.8592,0.8113,1987.5,931.6
92,921.0,0.8950,0.5452,2012.1,1224.7
93,470.0,0.9344,0.6709,2010.5,3917.7
94,388.0,0.8490,0.9395,2051.2,1112.6
95,3266.0,0.6533,0.8053,2117.4,687.7
96,108244.0,0.5402,0.9767,2551.7,971.6
97,689.0,0.9451,0.5136,2237.3,780.1
98,573.0,0.9534,0.6344,2268.1,1274.6
99,899.0,0.6873,0.9705,2293.7,1075.7
100,665.0,0.8855,0.8640,2309.5,4268.4
101,520.0,0.8497,0.8113,2329.2,1211.2
102,695.0,0.8720,0.8195,2355.0,837.2
