id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,7204.0,0.5884,0.9774,1327.3,6174.5
2,2522.0,0.7122,0.9080,1493.3,5698.5
3,4842.0,0.7995,0.9560,1528.9,5325.7
4,813.0,0.8356,0.9231,1530.3,5522.3
5,340.0,0.9418,0.4695,1628.3,5073.5
6,8462.0,0.6692,0.9764,1718.2,4845.0
7,2997.0,0.7831,0.9724,1717.4,4404.7
8,41974.0,0.6788,0.9022,1791.1,3857.1
9,632.0,0.7717,0.9477,1723.7,4624.1
10,2258.0,0.7289,0.9676,1767.0,4276.1
11,1860.0,0.6953,0.9626,1790.8,4166.2
12,718.0,0.8682,0.6879,1901.8,3999.4
13,2835.0,0.7459,0.9595,1944.8,4750.1
14,1701.0,0.8108,0.9593,1947.3,4857.7
15,645.0,0.8740,0.9643,1927.9,4048.8
16,4629.0,0.6757,0.9585,1957.3,4591.1
17,389.0,0.8922,0.9406,1950.0,4190.4
18,760.0,0.8085,0.9590,1953.6,4329.3
19,5790.0,0.6885,0.9467,1991.3,6187.3
20,339.0,0.9113,0.9103,1952.3,4256.3
21,652.0,0.9574,0.6134,1976.1,4909.3
22,1068.0,0.8783,0.9366,1993.6,4959.2
23,1745.0,0.8716,0.7760,2004.0,6066.6
24,422.0,0.8701,0.9159,2015.7,5517.0
