id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,428.0,0.9365,0.9730,1200.6,6260.5
2,4035.0,0.6634,0.9657,1290.4,5139.6
3,3165.0,0.8662,0.8969,1337.5,6205.3
4,9161.0,0.6983,0.8853,1376.5,5341.7
5,306.0,0.9563,0.5725,1343.6,5988.8
6,500.0,0.9025,0.9193,1353.9,6047.6
7,4917.0,0.6994,0.9800,1383.1,5686.5
8,557.0,0.8061,0.9161,1377.3,6139.9
9,409.0,0.8969,0.9208,1429.2,5516.4
10,21206.0,0.6273,0.9900,1494.4,4509.0
11,501.0,0.8564,0.8227,1645.5,3724.4
12,916.0,0.8885,0.9221,1715.9,3705.3
13,894.0,0.8563,0.9158,1744.2,3647.8
14,4451.0,0.9290,0.4524,1762.4,2670.3
15,18269.0,0.4905,0.7697,1817.2,2947.2
16,5527.0,0.4944,0.9805,1911.3,3660.9
17,3058.0,0.7742,0.9754,1935.1,5150.8
18,359.0,0.8487,0.9624,1933.9,4319.2
19,1399.0,0.8367,0.9548,1958.4,4647.2
20,1014.0,0.7008,0.8175,1971.6,4894.1
21,740.0,0.8525,0.9020,1967.7,4960.8
22,434.0,0.9538,0.8629,1964.6,3897.7
23,368.0,0.8932,0.6736,1981.8,4465.5
24,1789.0,0.7944,0.7339,2019.4,4415.0
25,2130.0,0.7167,0.9650,2024.9,5266.9
26,1123.0,0.8004,0.9378,2065.5,5353.0
27,1244.0,0.7405,0.9458,2069.3,5469.0
28,623.0,0.8008,0.8222,2213.8,5792.2
29,5028.0,0.7580,0.9267,2287.9,5953.4
30,736.0,0.8431,0.9569,2321.1,6063.7
31,13639.0,0.6984,0.9641,2436.5,6170.2
