id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1904.0,0.6894,0.9118,1182.1,6223.2
2,488.0,0.8313,0.9600,1284.3,5636.2
3,1146.0,0.8584,0.9642,1419.9,5082.6
4,1099.0,0.8750,0.9013,1452.5,4928.5
5,36144.0,0.5947,0.9931,1500.1,4338.7
6,878.0,0.8710,0.9507,1487.5,4833.9
7,1655.0,0.8831,0.9141,1496.8,4762.9
8,30463.0,0.7759,0.9740,1583.5,3690.8
9,5534.0,0.6395,0.9092,1666.7,3438.9
10,17941.0,0.7643,0.9687,1795.5,1736.5
11,396.0,0.8131,0.9791,2011.6,3399.0
12,854.0,0.8188,0.9564,2064.8,2799.9
13,1792.0,0.7539,0.9491,2099.7,4792.7
14,1047.0,0.7410,0.9565,2108.9,2303.0
15,852.0,0.8580,0.9389,2109.3,4366.0
16,334.0,0.9382,0.9201,2194.8,6248.0
