id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1350.0,0.9447,0.9635,108.7,637.9
2,2247.0,0.8292,0.8925,166.8,116.7
3,6547.0,0.9226,0.9787,545.0,117.4
4,313.0,0.9233,0.7550,517.8,2058.9
5,542.0,0.8163,0.9716,597.3,2012.8
6,2231.0,0.7709,0.9129,615.6,2061.8
7,583.0,0.9053,0.8466,678.3,1602.2
8,2763.0,0.4937,0.9255,723.1,1666.5
9,820.0,0.9162,0.5542,714.5,1422.9
10,1043.0,0.7071,0.9052,752.3,1470.9
11,728.0,0.8966,0.8174,765.7,1325.2
12,2485.0,0.7792,0.8372,794.5,1415.0
13,1441.0,0.8383,0.9475,781.2,1579.9
14,1438.0,0.7451,0.9251,853.4,1363.3
15,218356.0,0.5457,0.9781,1050.7,650.7
16,9000.0,0.5697,0.9774,1023.9,1653.1
17,376.0,0.9171,0.7235,1030.2,1695.4
18,1941.0,0.7509,0.8195,1091.2,1669.5
19,328.0,0.9011,0.7753,1119.6,1621.7
20,589.0,0.9546,0.6405,1149.3,1213.2
21,3704.0,0.7309,0.8590,1255.7,137.7
22,1098.0,0.9548,0.6625,1246.4,290.4
