id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,1104.0,0.7287,0.9946,152.3,142.1
2,1324.0,0.8536,0.9818,665.6,1022.5
3,551.0,0.9245,0.9506,673.5,895.0
4,1871.0,0.7144,0.9326,684.4,1282.5
5,570.0,0.7631,0.9660,697.4,1131.9
6,6255.0,0.7318,0.9354,728.5,889.8
7,327.0,0.8560,0.9295,811.8,1765.0
8,299.0,0.9172,0.9007,812.4,414.8
9,1147.0,0.4850,0.9892,1257.5,739.3
10,1020.0,0.7440,0.9871,1257.1,592.7
11,769.0,0.7401,0.9610,1386.1,264.7
12,613.0,0.8195,0.9402,1467.3,247.3
13,1038.0,0.9454,0.9818,1819.8,132.0
14,2892.0,0.7203,0.9932,1953.1,109.3
