id,area_px,solidity,eccentricity,centroid_row,centroid_col
1,31314.0,0.5562,0.9333,1070.5,1493.9
2,364.0,0.8545,0.9634,1437.0,1523.5
3,21035.0,0.7654,0.9310,1595.6,1578.9
4,22391.0,0.3645,0.9757,2073.8,1545.5
5,890.0,0.8566,0.8943,2187.6,1350.5
6,2592.0,0.7137,0.9025,2243.6,1325.6
7,2812.0,0.6466,0.9452,2589.7,1402.1
8,30563.0,0.5837,0.9730,3024.7,1424.7
9,1744.0,0.8617,0.9207,2775.6,1328.8
10,556.0,0.6667,0.9593,2887.1,1325.3
11,241.0,0.7627,0.8934,2892.4,1301.0
12,271.0,0.8914,0.9402,3018.2,1347.5
13,596.0,0.8817,0.9176,3274.7,1478.9
14,2614.0,0.5325,0.9513,3462.9,1164.2
15,435.0,0.8914,0.9740,3467.6,1451.5
16,97852.0,0.5279,0.9915,4122.8,1406.3
17,494.0,0.8033,0.9286,3508.3,1367.1
18,749.0,0.7350,0.9140,3570.2,1273.5
19,290.0,0.9062,0.8475,3551.8,1297.1
20,678.0,0.9262,0.9202,3570.8,1329.6
21,303.0,0.9099,0.9117,3660.1,1373.3
22,1553.0,0.8318,0.9664,4087.4,1099.5
23,356.0,0.7929,0.6240,4224.1,224.9
24,4742.0,0.7426,0.8615,4267.3,162.2
25,1323.0,0.4030,0.8590,4295.9,1289.5
26,628.0,0.8783,0.8798,4385.8,1231.6
27,956.0,0.8977,0.8346,4486.4,396.0
28,329.0,0.8681,0.6901,4478.5,423.3
29,1367.0,0.7663,0.9269,4660.0,200.4
30,1488.0,0.7123,0.9288,4703.3,140.7
31,950.0,0.7717,0.7775,4698.3,540.5
